fecha,contenedor,estado,cliente,alerta_enviada
2024-09-19,MSDU-761784-3,13:50 Arribado,Sin Datos,1.0
2024-09-19,MSMU-818117-5,13:50 Arribado,Sin Datos,1.0
2024-09-19,TCNU-637755-3,13:50 Arribado,Sin Datos,1.0
2024-09-19,BMOU-595168-4,13:55 Arribado,Sin Datos,1.0
2024-09-19,MSDU-731107-2,13:55 Arribado,Sin Datos,1.0
2024-09-19,MSMU-519570-3,13:55 Arribado,Sin Datos,1.0
2024-09-19,TCNU-773162-0,13:55 Arribado,Sin Datos,1.0
2024-09-19,TGBU-456798-1,13:55 Arribado,Sin Datos,1.0
2024-09-19,BSIU-301879-9,16:10 Arribado,Sin Datos,1.0
2024-09-19,TIIU-453419-0,16:10 Arribado,Sin Datos,1.0
2024-09-23,TCNU-443725-2,14:55 Arribado,Sin Datos,1.0
2024-09-24,TCKU-464177-0,14:35 Arribado,Sin Datos,1.0
2024-09-24,UACU-408385-0,15:40 Arribado,Sin Datos,1.0
2024-09-24,FBIU-035061-9,15:40 Arribado,Sin Datos,1.0
2024-09-25,BEAU-546865-0,17:56 Arribado,Sin Datos,1.0
2024-09-25,SEGU-169247-4,17:56 Arribado,Sin Datos,1.0
2024-09-25,HLXU-531526-0,17:56 Arribado,Sin Datos,1.0
2024-09-25,TCLU-756010-8,17:56 Arribado,Sin Datos,1.0
2024-09-26,UACU-836953-8,14:00 Arribado,Sin Datos,1.0
2024-09-27,MSKU-159528-0,16:25 Arribado,Sin Datos,1.0
2024-09-27,SEKU-627132-2,16:50 Arribado,Sin Datos,1.0
2024-09-30,TGHU-524119-0,17:28 Arribado,Sin Datos,1.0
2024-09-30,ZCSU-263286-6,17:28 Arribado,Sin Datos,1.0
2024-09-30,ZCSU-779258-0,17:28 Arribado,Sin Datos,1.0
2024-10-01,MSDU-469663-8,17:00 Arribado,Sin Datos,1.0
2024-10-02,TCKU-727800-0,17:10 Arribado,Sin Datos,1.0
2024-10-03,SUDU-548026-2,16:45 Arribado,Sin Datos,1.0
2024-10-03,ZCSU-259402-5,16:50 Arribado,Sin Datos,1.0
2024-10-03,MSKU-996255-1,16:50 Arribado,Sin Datos,1.0
2024-10-04,HLXU-534784-3,13:50 Arribado,Sin Datos,1.0
2024-10-04,HLBU-260092-4,13:55 Arribado,Sin Datos,1.0
2024-10-04,SEGU-230060-2,13:55 Arribado,Sin Datos,1.0
2024-10-04,MSKU-393374-6,13:55 Arribado,Sin Datos,1.0
2024-10-14,TLLU-457018-4,17:10 Arribado,Sin Datos,1.0
2024-10-14,HJMU-493080-0,17:20 Arribado,Sin Datos,1.0
2024-10-14,TEMU-140086-1,17:35 Arribado,Sin Datos,1.0
2024-10-15,TGBU-743656-3,11:50 Arribado,Sin Datos,1.0
2024-10-15,BEAU-436140-0,11:55 Arribado,Sin Datos,1.0
2024-10-15,TRHU-113818-5,17:30 Arribado,Sin Datos,1.0
2024-10-15,TCKU-204838-6,17:30 Arribado,Sin Datos,1.0
2024-10-15,ONEU-128084-9,17:30 Arribado,Sin Datos,1.0
2024-10-15,TCKU-795959-6,17:30 Arribado,Sin Datos,1.0
2024-10-15,BSIU-966307-0,17:30 Arribado,Sin Datos,1.0
2024-10-16,ZCSU-659718-8,14:45 Arribado,Sin Datos,1.0
2024-10-16,MRKU-459275-0,14:45 Arribado,Sin Datos,1.0
2024-10-16,MSCU-635318-8,16:15 Arribado,Sin Datos,1.0
2024-10-21,MRKU-060858-7,18:47 Arribado,Sin Datos,1.0
2024-11-08,GCXU-558114-8,17:07 Arribado,Sin Datos,1.0
2024-11-08,TRHU-761409-9,17:07 Arribado,Sin Datos,1.0
2024-11-08,MSKU-930529-0,17:07 Arribado,Sin Datos,1.0
2024-11-08,MRKU-482251-3,17:07 Arribado,Sin Datos,1.0
2024-11-11,MSDU-474383-2,20:32 Arribado,Sin Datos,1.0
2024-11-11,MRKU-475096-4,20:32 Arribado,Sin Datos,1.0
2024-11-11,TGBU-569944-7,20:32 Arribado,Sin Datos,1.0
2024-11-11,ZCSU-863287-9,20:32 Arribado,Sin Datos,1.0
2024-11-11,MRKU-241779-0,20:32 Arribado,Sin Datos,1.0
2024-11-11,TLLU-598482-5,20:32 Arribado,Sin Datos,1.0
2024-11-11,ZCSU-774360-4,20:32 Arribado,Sin Datos,1.0
2024-11-12,ZCSU-794934-4,11:00 Arribado,Sin Datos,1.0
2024-11-12,TCNU-276643-3,11:00 Arribado,Sin Datos,1.0
2024-11-12,KOCU-223415-4,18:10 Arribado,Sin Datos,1.0
2024-11-12,GLDU-360700-4,18:20 Arribado,Sin Datos,1.0
2024-11-19,HLBU-274893-2,14:59 Arribado,A La Orden,
2024-11-21,ZCSU-678040-8,18:40 Arribado,Juguetech Sa,
2024-11-21,TLLU-460125-9,18:40 Arribado,Dmc Import Group S.R.L.,
2024-11-25,EITU-102099-9,17:00 Arribado,Jupam Sa,
2024-11-26,ONEU-109744-2,17:40 Arribado,Jupam Sa,
